ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
,simple,TGH-206,Golden Oval Pearl Set,1,1,visible,"Elevate your elegance with this golden oval pearl jewelry set.","Elevate your elegance with this golden oval pearl jewelry set. Featuring a vintage-style 18K gold plated necklace and matching freshwater pearl stud earrings. Tarnish-free and hypoallergenic. Perfect for weddings, birthdays, and everyday luxury wear. Made with 18K gold plating over stainless steel for lasting brilliance.",taxable,,1,,,,,,,,,1,,1250,Jewelry Sets,bestseller,,https://www.toriasglamhaven.co.ke/wp-content/uploads/2025/07/WhatsApp-Image-2025-06-09-at-19.31.18.jpeg,,,,,,,,,0
,simple,TGH-207,Gold & Pearl Geometric Set,1,0,visible,"Bold meets elegant in this gold and mother-of-pearl jewelry set.","Bold meets elegant in this gold and mother-of-pearl jewelry set, featuring a statement square pendant and matching geometric earrings. Crafted with 18K gold plating and freshwater pearl accents. Hypoallergenic and tarnish-free for long-lasting shine.",taxable,,1,,,,,,,,,1,,1250,Jewelry Sets,new,,https://www.toriasglamhaven.co.ke/wp-content/uploads/2025/07/WhatsApp-Image-2025-06-09-at-19.31.17-1.jpeg,,,,,,,,,1
,simple,TGH-208,Bold Gold Link Hoop,1,0,visible,"Make a bold statement with this contemporary gold link hoop earring.","Make a bold statement with this contemporary gold link hoop earring. Designed for everyday elegance with a tarnish-free 18K gold plated finish. Modern minimalism at its best. Hypoallergenic and suitable for sensitive ears.",taxable,,1,,,,,,,,,1,,1250,Earrings,trending,,https://www.toriasglamhaven.co.ke/wp-content/uploads/2025/07/WhatsApp-Image-2025-06-09-at-19.31.16-1.jpeg,,,,,,,,,2
,simple,TGH-209,Minimalist Black & Gold Set,1,0,visible,"Elegant black and gold jewelry set featuring a matching necklace and stud earrings.","Elegant black and gold jewelry set featuring a matching necklace and stud earrings. Features AAA gemstones and 18K gold plated stainless steel. Tarnish-free for lasting brilliance. Perfect gift for any occasion.",taxable,,1,,,,,,,,,1,,1250,Jewelry Sets,top pick,,https://www.toriasglamhaven.co.ke/wp-content/uploads/2025/07/WhatsApp-Image-2025-06-09-at-19.31.17.jpeg,,,,,,,,,3
,simple,TGH-210,Vintage Bold Gold Hoop,1,0,visible,"Statement vintage-style gold hoop earrings with a bold, round design.","Statement vintage-style gold hoop earrings with a bold, round design. 18K gold plated and 100% tarnish-free. Perfect for casual and formal occasions alike. Hypoallergenic finish suitable for all skin types.",taxable,,1,,,,,,,,,1,,1500,Earrings,vintage,,https://www.toriasglamhaven.co.ke/wp-content/uploads/2025/07/WhatsApp-Image-2025-06-09-at-19.31.16.jpeg,,,,,,,,,4
,simple,TGH-211,Radiant Pearl Burst,1,0,visible,"Bold gold burst earrings with freshwater pearl centers.","Bold gold burst earrings with freshwater pearl centers, paired with dainty AAA gemstones — perfect for modern luxury looks. 18K gold plated and tarnish-free for everyday wear.",taxable,,1,,,,,,,,,1,,1500,Earrings,new,,https://www.toriasglamhaven.co.ke/wp-content/uploads/2025/07/WhatsApp-Image-2025-06-09-at-19.31.15.jpeg,,,,,,,,,5
,simple,TGH-212,The Golden Halo,1,1,visible,"A sleek, minimalist 18K gold plated pendant necklace.","A sleek, minimalist 18K gold plated pendant necklace that adds timeless elegance to any look. Tarnish-free and perfect for daily wear. Chain length adjustable. Makes a perfect gift.",taxable,,1,,,,,,,,,1,,1250,Necklace,bestseller,,https://www.toriasglamhaven.co.ke/wp-content/uploads/2025/07/WhatsApp-Image-2025-06-09-at-22.57.33-2.jpeg,,,,,,,,,6
,simple,TGH-213,Red Ruby Pendant,1,1,visible,"A striking gold chain necklace featuring a vibrant AAA ruby-red gemstone.","A striking gold chain necklace featuring a vibrant AAA ruby-red gemstone for a bold and classic finish. 18K gold plated chain with a tarnish-free coating. The perfect statement piece for any outfit.",taxable,,1,,,,,,,,,1,,1250,Necklace,bestseller,,https://www.toriasglamhaven.co.ke/wp-content/uploads/2025/07/WhatsApp-Image-2025-06-09-at-22.57.33-1.jpeg,,,,,,,,,7
,simple,TGH-214,Purple Pendant Necklace,1,0,visible,"Add a pop of color and elegance to your everyday style.","Add a pop of color and elegance to your everyday style with our Purple Pendant Necklace, featuring AAA gemstones and tarnish-free 18K gold plating. A conversation starter that works for any occasion.",taxable,,1,,,,,,,,,1,,1500,Necklace,trending,,https://www.toriasglamhaven.co.ke/wp-content/uploads/2025/07/WhatsApp-Image-2025-06-09-at-22.57.32.jpeg,,,,,,,,,8
,simple,TGH-215,Emerald Pendant Necklace,1,0,visible,"Bring timeless elegance to life with our Emerald Pendant Necklace.","Bring timeless elegance to life with our Emerald Pendant Necklace — designed to sparkle with AAA gemstones. Crafted for comfort with 18K gold plating. An elegant everyday accessory with a luxury feel.",taxable,,1,,,,,,,,,1,,1500,Necklace,trending,,https://www.toriasglamhaven.co.ke/wp-content/uploads/2025/07/WhatsApp-Image-2025-06-09-at-22.57.33.jpeg,,,,,,,,,9
